datetime,value
2016-10-20T01,43
2016-10-20T02,33
2016-10-20T03,30
2016-10-20T04,30
2016-10-20T05,28
2016-10-20T06,25
2016-10-20T07,23
2016-10-20T08,27
2016-10-20T09,38
2016-10-20T10,40
2016-10-20T11,47
2016-10-20T12,48
2016-10-20T13,38
2016-10-20T14,52
2016-10-20T15,57
2016-10-20T16,50
2016-10-20T17,52
2016-10-20T18,64
2016-10-20T19,57
2016-10-20T20,66
2016-10-20T21,55
2016-10-20T22,65
2016-10-20T23,37
2016-10-21T00,37
2016-10-21T01,47
2016-10-21T02,28
2016-10-21T03,27
2016-10-21T04,25
2016-10-21T05,25
2016-10-21T06,24
2016-10-21T07,30
2016-10-21T08,34
2016-10-21T09,37
2016-10-21T10,37
2016-10-21T11,51
2016-10-21T12,33
2016-10-21T13,38
2016-10-21T14,50
2016-10-21T15,41
2016-10-21T16,50
2016-10-21T17,57
2016-10-21T18,67
2016-10-21T19,67
2016-10-21T20,83
2016-10-21T21,62
2016-10-21T22,72
2016-10-21T23,71
2016-10-22T00,43
2016-10-22T01,46
2016-10-22T02,35
2016-10-22T03,27
2016-10-22T04,26
2016-10-22T05,38
2016-10-22T06,32
2016-10-22T07,38
2016-10-22T08,43
2016-10-22T09,45
2016-10-22T10,45
2016-10-22T11,57
2016-10-22T12,53
2016-10-22T13,56
2016-10-22T14,69
2016-10-22T15,74
2016-10-22T16,99
2016-10-22T17,66
2016-10-22T18,86
2016-10-22T19,80
2016-10-22T20,100
2016-10-22T21,81
2016-10-22T22,98
2016-10-22T23,78
2016-10-23T00,84
2016-10-23T01,51
2016-10-23T02,44
2016-10-23T03,37
2016-10-23T04,38
2016-10-23T05,37
2016-10-23T06,52
2016-10-23T07,41
2016-10-23T08,37
2016-10-23T09,44
2016-10-23T10,49
2016-10-23T11,57
2016-10-23T12,54
2016-10-23T13,57
2016-10-23T14,70
2016-10-23T15,79
2016-10-23T16,78
2016-10-23T17,73
2016-10-23T18,82
2016-10-23T19,84
2016-10-23T20,82
2016-10-23T21,78
2016-10-23T22,89
2016-10-23T23,81
2016-10-24T00,66
2016-10-24T01,53
2016-10-24T02,43
2016-10-24T03,29
2016-10-24T04,40
2016-10-24T05,37
2016-10-24T06,43
2016-10-24T07,29
2016-10-24T08,35
2016-10-24T09,37
2016-10-24T10,37
2016-10-24T11,52
2016-10-24T12,51
2016-10-24T13,45
2016-10-24T14,63
2016-10-24T15,60
2016-10-24T16,63
2016-10-24T17,72
2016-10-24T18,71
2016-10-24T19,82
2016-10-24T20,69
2016-10-24T21,72
2016-10-24T22,97
2016-10-24T23,84
2016-10-25T00,75
2016-10-25T01,56
2016-10-25T02,40
2016-10-25T03,25
2016-10-25T04,34
2016-10-25T05,39
2016-10-25T06,44
2016-10-25T07,38
2016-10-25T08,34
2016-10-25T09,41
2016-10-25T10,43
