country,value
Mississippi,100
Delaware,94
Arkansas,92
Hawaii,88
New Jersey,85
Nebraska,82
South Carolina,81
North Carolina,80
Utah,80
Louisiana,80
Rhode Island,79
Alabama,79
Georgia,79
Virginia,75
New Hampshire,75
New York,74
Ohio,72
Arizona,72
Washington,72
Missouri,71
Maryland,70
Iowa,70
Pennsylvania,69
Nevada,69
Minnesota,69
California,68
Indiana,68
Connecticut,68
New Mexico,68
Maine,68
Massachusetts,66
Texas,66
Tennessee,65
Illinois,65
Oklahoma,64
Kentucky,64
Wisconsin,64
Florida,64
West Virginia,61
Michigan,60
District of Columbia,60
Idaho,56
Colorado,55
Kansas,44
Oregon,34
