date,value
2015-10-25,68
2015-11-01,65
2015-11-08,65
2015-11-15,60
2015-11-22,54
2015-11-29,58
2015-12-06,60
2015-12-13,55
2015-12-20,51
2015-12-27,77
2016-01-03,80
2016-01-10,77
2016-01-17,74
2016-01-24,74
2016-01-31,70
2016-02-07,65
2016-02-14,66
2016-02-21,69
2016-02-28,66
2016-03-06,65
2016-03-13,61
2016-03-20,69
2016-03-27,66
2016-04-03,64
2016-04-10,69
2016-04-17,59
2016-04-24,65
2016-05-01,64
2016-05-08,68
2016-05-15,60
2016-05-22,52
2016-05-29,52
2016-06-05,48
2016-06-12,46
2016-06-19,45
2016-06-26,45
2016-07-03,40
2016-07-10,46
2016-07-17,51
2016-07-24,55
2016-07-31,57
2016-08-07,61
2016-08-14,65
2016-08-21,65
2016-08-28,71
2016-09-04,75
2016-09-11,81
2016-09-18,80
2016-09-25,100
2016-10-02,84
2016-10-09,91
2016-10-16,85
