date,value
2011-10-23,81
2011-10-30,80
2011-11-06,84
2011-11-13,81
2011-11-20,81
2011-11-27,100
2011-12-04,80
2011-12-11,79
2011-12-18,74
2011-12-25,78
2012-01-01,76
2012-01-08,78
2012-01-15,83
2012-01-22,82
2012-01-29,81
2012-02-05,83
2012-02-12,85
2012-02-19,85
2012-02-26,87
2012-03-04,84
2012-03-11,84
2012-03-18,85
2012-03-25,86
2012-04-01,85
2012-04-08,85
2012-04-15,85
2012-04-22,87
2012-04-29,86
2012-05-06,85
2012-05-13,85
2012-05-20,83
2012-05-27,80
2012-06-03,78
2012-06-10,79
2012-06-17,78
2012-06-24,77
2012-07-01,77
2012-07-08,79
2012-07-15,78
2012-07-22,78
2012-07-29,78
2012-08-05,79
2012-08-12,81
2012-08-19,80
2012-08-26,83
2012-09-02,96
2012-09-09,93
2012-09-16,89
2012-09-23,89
2012-09-30,83
2012-10-07,80
2012-10-14,81
2012-10-21,82
2012-10-28,78
2012-11-04,85
2012-11-11,81
2012-11-18,80
2012-11-25,80
2012-12-02,94
2012-12-09,79
2012-12-16,78
2012-12-23,76
2012-12-30,77
2013-01-06,77
2013-01-13,81
2013-01-20,81
2013-01-27,78
2013-02-03,78
2013-02-10,80
2013-02-17,81
2013-02-24,82
2013-03-03,79
2013-03-10,79
2013-03-17,80
2013-03-24,79
2013-03-31,78
2013-04-07,79
2013-04-14,79
2013-04-21,80
2013-04-28,78
2013-05-05,77
2013-05-12,76
2013-05-19,75
2013-05-26,75
2013-06-02,71
2013-06-09,71
2013-06-16,70
2013-06-23,73
2013-06-30,74
2013-07-07,71
2013-07-14,72
2013-07-21,73
2013-07-28,75
2013-08-04,74
2013-08-11,72
2013-08-18,73
2013-08-25,75
2013-09-01,81
2013-09-08,85
2013-09-15,83
2013-09-22,81
2013-09-29,81
2013-10-06,81
2013-10-13,82
2013-10-20,79
2013-10-27,77
2013-11-03,77
2013-11-10,84
2013-11-17,80
2013-11-24,80
2013-12-01,77
2013-12-08,89
2013-12-15,74
2013-12-22,73
2013-12-29,74
2014-01-05,74
2014-01-12,79
2014-01-19,75
2014-01-26,76
2014-02-02,75
2014-02-09,77
2014-02-16,79
2014-02-23,76
2014-03-02,79
2014-03-09,74
2014-03-16,75
2014-03-23,75
2014-03-30,75
2014-04-06,75
2014-04-13,74
2014-04-20,73
2014-04-27,72
2014-05-04,73
2014-05-11,71
2014-05-18,71
2014-05-25,69
2014-06-01,73
2014-06-08,69
2014-06-15,68
2014-06-22,69
2014-06-29,68
2014-07-06,71
2014-07-13,68
2014-07-20,70
2014-07-27,69
2014-08-03,68
2014-08-10,68
2014-08-17,71
2014-08-24,75
2014-08-31,80
2014-09-07,86
2014-09-14,82
2014-09-21,80
2014-09-28,76
2014-10-05,75
2014-10-12,74
2014-10-19,74
2014-10-26,73
2014-11-02,74
2014-11-09,73
2014-11-16,74
2014-11-23,76
2014-11-30,88
2014-12-07,88
2014-12-14,74
2014-12-21,72
2014-12-28,74
2015-01-04,71
2015-01-11,77
2015-01-18,74
2015-01-25,74
2015-02-01,72
2015-02-08,75
2015-02-15,76
2015-02-22,80
2015-03-01,74
2015-03-08,76
2015-03-15,74
2015-03-22,73
2015-03-29,70
2015-04-05,71
2015-04-12,70
2015-04-19,70
2015-04-26,69
2015-05-03,68
2015-05-10,68
2015-05-17,67
2015-05-24,66
2015-05-31,66
2015-06-07,65
2015-06-14,64
2015-06-21,65
2015-06-28,66
2015-07-05,68
2015-07-12,64
2015-07-19,65
2015-07-26,66
2015-08-02,65
2015-08-09,66
2015-08-16,66
2015-08-23,67
2015-08-30,69
2015-09-06,74
2015-09-13,77
2015-09-20,73
2015-09-27,72
2015-10-04,73
2015-10-11,70
2015-10-18,69
2015-10-25,70
2015-11-01,68
2015-11-08,76
2015-11-15,68
2015-11-22,70
2015-11-29,68
2015-12-06,80
2015-12-13,70
2015-12-20,67
2015-12-27,67
2016-01-03,68
2016-01-10,69
2016-01-17,70
2016-01-24,68
2016-01-31,66
2016-02-07,67
2016-02-14,69
2016-02-21,69
2016-02-28,70
2016-03-06,68
2016-03-13,67
2016-03-20,65
2016-03-27,64
2016-04-03,66
2016-04-10,66
2016-04-17,67
2016-04-24,64
2016-05-01,65
2016-05-08,64
2016-05-15,64
2016-05-22,64
2016-05-29,62
2016-06-05,62
2016-06-12,62
2016-06-19,60
2016-06-26,61
2016-07-03,60
2016-07-10,58
2016-07-17,59
2016-07-24,60
2016-07-31,60
2016-08-07,59
2016-08-14,59
2016-08-21,62
2016-08-28,63
2016-09-04,70
2016-09-11,70
2016-09-18,71
2016-09-25,71
2016-10-02,69
2016-10-09,69
2016-10-16,70
